Segment Type,Segment Description,Answer,Count,Percentage
University,University of Arkansas,None,5,0.263
University,Richland High School,Facebook,0,0
University,Richland High School,Instagram,0,0
University,Richland High School,Snapchat,0,0
University,Richland High School,Twitter,0,0
University,Richland High School,None,1,1
University,Wake Forest University,Facebook,1,1
University,Wake Forest University,Instagram,0,0
University,Wake Forest University,Snapchat,0,0
University,Wake Forest University,Twitter,0,0
University,Wake Forest University,None,0,0
University,Iowa State University,Facebook,0,0
University,Iowa State University,Instagram,1,0.333
University,Iowa State University,Snapchat,0,0
University,Iowa State University,Twitter,0,0
University,Iowa State University,None,2,0.667
University,Florida Gulf Coast University,Facebook,0,0
University,Florida Gulf Coast University,Instagram,1,1
University,Florida Gulf Coast University,Snapchat,0,0
University,Florida Gulf Coast University,Twitter,0,0
University,Florida Gulf Coast University,None,0,0
University,University of Central Missouri,Facebook,1,0.333
University,University of Central Missouri,Instagram,0,0
University,University of Central Missouri,Snapchat,0,0
University,University of Central Missouri,Twitter,0,0
University,University of Central Missouri,None,2,0.667
University,California State University Long Beach,Facebook,0,0
University,California State University Long Beach,Instagram,1,1
University,California State University Long Beach,Snapchat,0,0
University,California State University Long Beach,Twitter,0,0
University,California State University Long Beach,None,0,0
University,Chaparral High School,Facebook,0,0
University,Chaparral High School,Instagram,1,1
University,Chaparral High School,Snapchat,0,0
University,Chaparral High School,Twitter,0,0
University,Chaparral High School,None,0,0
University,Colorado Academy,Facebook,1,0.5
University,Colorado Academy,Instagram,0,0
University,Colorado Academy,Snapchat,0,0
University,Colorado Academy,Twitter,0,0
University,Colorado Academy,None,1,0.5
University,United States Naval Academy,Facebook,0,0
University,United States Naval Academy,Instagram,0,0
University,United States Naval Academy,Snapchat,0,0
University,United States Naval Academy,Twitter,0,0
University,United States Naval Academy,None,1,1
University,University of Wisconsin-Whitewater,Facebook,0,0
University,University of Wisconsin-Whitewater,Instagram,0,0
University,University of Wisconsin-Whitewater,Snapchat,0,0
University,University of Wisconsin-Whitewater,Twitter,1,1
University,University of Wisconsin-Whitewater,None,0,0
University,Lock Haven University,Facebook,1,1
University,Lock Haven University,Instagram,0,0
University,Lock Haven University,Snapchat,0,0
University,Lock Haven University,Twitter,0,0
University,Lock Haven University,None,0,0
University,Kalamazoo College,Facebook,0,0
University,Kalamazoo College,Instagram,1,1
University,Kalamazoo College,Snapchat,0,0
University,Kalamazoo College,Twitter,0,0
University,Kalamazoo College,None,0,0
University,Stanford University,Facebook,2,0.222
University,Stanford University,Instagram,2,0.222
University,Stanford University,Snapchat,0,0
University,Stanford University,Twitter,0,0
University,Stanford University,None,5,0.556
University,Vanderbilt University,Facebook,15,0.375
University,Vanderbilt University,Instagram,11,0.275
University,Vanderbilt University,Snapchat,1,0.025
University,Vanderbilt University,Twitter,0,0
University,Vanderbilt University,None,13,0.325
University,Chapman University,Facebook,2,0.2
University,Chapman University,Instagram,6,0.6
University,Chapman University,Snapchat,0,0
University,Chapman University,Twitter,0,0
University,Chapman University,None,2,0.2
University,Missouri State University,Facebook,3,0.12
University,Missouri State University,Instagram,10,0.4
University,Missouri State University,Snapchat,0,0
University,Missouri State University,Twitter,2,0.08
University,Missouri State University,None,10,0.4
University,Emory University,Facebook,15,0.319
University,Emory University,Instagram,14,0.298
University,Emory University,Snapchat,2,0.043
University,Emory University,Twitter,1,0.021
University,Emory University,None,15,0.319
University,University of Richmond,Facebook,3,0.6
University,University of Richmond,Instagram,0,0
University,University of Richmond,Snapchat,0,0
University,University of Richmond,Twitter,0,0
University,University of Richmond,None,2,0.4
University,Medford High School,Facebook,0,0
University,Medford High School,Instagram,0,0
University,Medford High School,Snapchat,0,0
University,Medford High School,Twitter,0,0
University,Medford High School,None,1,1
University,University of British Columbia,Facebook,1,0.333
University,University of British Columbia,Instagram,0,0
University,University of British Columbia,Snapchat,0,0
University,University of British Columbia,Twitter,0,0
University,University of British Columbia,None,2,0.667
University,Colby College,Facebook,0,0
University,Colby College,Instagram,2,1
University,Colby College,Snapchat,0,0
University,Colby College,Twitter,0,0
University,Colby College,None,0,0
University,Bates College,Facebook,8,0.17
University,Bates College,Instagram,18,0.383
University,Bates College,Snapchat,0,0
University,Bates College,Twitter,4,0.085
University,Bates College,None,17,0.362
University,"Westport, CT",Facebook,1,1
University,"Westport, CT",Instagram,0,0
University,"Westport, CT",Snapchat,0,0
University,"Westport, CT",Twitter,0,0
University,"Westport, CT",None,0,0
University,Whitman College,Facebook,5,0.227
University,Whitman College,Instagram,5,0.227
University,Whitman College,Snapchat,3,0.136
University,Whitman College,Twitter,0,0
University,Whitman College,None,9,0.409
University,Thompson Rivers University ,Facebook,0,0
University,Thompson Rivers University ,Instagram,1,0.5
University,Thompson Rivers University ,Snapchat,0,0
University,Thompson Rivers University ,Twitter,0,0
University,Thompson Rivers University ,None,1,0.5
University,University of Central Florida,Facebook,0,0
University,University of Central Florida,Instagram,0,0
University,University of Central Florida,Snapchat,0,0
University,University of Central Florida,Twitter,0,0
University,University of Central Florida,None,2,1
University,University of Montana ,Facebook,0,0
University,University of Montana ,Instagram,2,1
University,University of Montana ,Snapchat,0,0
University,University of Montana ,Twitter,0,0
University,University of Montana ,None,0,0
University,University of Nebraska,Facebook,0,0
University,University of Nebraska,Instagram,0,0
University,University of Nebraska,Snapchat,0,0
University,University of Nebraska,Twitter,0,0
University,University of Nebraska,None,1,1
University,Whatsgoodly University,Facebook,0,0
University,Whatsgoodly University,Instagram,1,1
University,Whatsgoodly University,Snapchat,0,0
University,Whatsgoodly University,Twitter,0,0
University,Whatsgoodly University,None,0,0
University,Tufts University,Facebook,4,0.4
University,Tufts University,Instagram,3,0.3
University,Tufts University,Snapchat,0,0
University,Tufts University,Twitter,0,0
University,Tufts University,None,3,0.3
University,Texas Tech University,Facebook,0,0
University,Texas Tech University,Instagram,1,1
University,Texas Tech University,Snapchat,0,0
University,Texas Tech University,Twitter,0,0
University,Texas Tech University,None,0,0
University,Kansas State University,Facebook,0,0
University,Kansas State University,Instagram,0,0
University,Kansas State University,Snapchat,0,0
University,Kansas State University,Twitter,0,0
University,Kansas State University,None,1,1
University,University of Notre Dame,Facebook,0,0
University,University of Notre Dame,Instagram,0,0
University,University of Notre Dame,Snapchat,0,0
University,University of Notre Dame,Twitter,0,0
University,University of Notre Dame,None,1,1
University,University of Georgia,Facebook,0,0
University,University of Georgia,Instagram,2,1
University,University of Georgia,Snapchat,0,0
University,University of Georgia,Twitter,0,0
University,University of Georgia,None,0,0
University,Ohio University,Facebook,0,0
University,Ohio University,Instagram,0,0
University,Ohio University,Snapchat,0,0
University,Ohio University,Twitter,0,0
University,Ohio University,None,1,1
University,Washington State University,Facebook,0,0
University,Washington State University,Instagram,2,1
University,Washington State University,Snapchat,0,0
University,Washington State University,Twitter,0,0
University,Washington State University,None,0,0
University,Binghamtom University,Facebook,0,0
University,Binghamtom University,Instagram,0,0
University,Binghamtom University,Snapchat,0,0
University,Binghamtom University,Twitter,0,0
University,Binghamtom University,None,1,1
University,George Washington University,Facebook,0,0
University,George Washington University,Instagram,1,1
University,George Washington University,Snapchat,0,0
University,George Washington University,Twitter,0,0
University,George Washington University,None,0,0
University,University of Alabama,Facebook,0,0
University,University of Alabama,Instagram,1,0.2
University,University of Alabama,Snapchat,1,0.2
University,University of Alabama,Twitter,0,0
University,University of Alabama,None,3,0.6
University,University of Florida,Facebook,0,0
University,University of Florida,Instagram,1,0.333
University,University of Florida,Snapchat,0,0
University,University of Florida,Twitter,1,0.333
University,University of Florida,None,1,0.333
University,The College of New Jersey,Facebook,0,0
University,The College of New Jersey,Instagram,0,0
University,The College of New Jersey,Snapchat,0,0
University,The College of New Jersey,Twitter,0,0
University,The College of New Jersey,None,1,1
University,Florida State University,Facebook,0,0
University,Florida State University,Instagram,1,1
University,Florida State University,Snapchat,0,0
University,Florida State University,Twitter,0,0
University,Florida State University,None,0,0
University,Santa Clara University,Facebook,1,0.333
University,Santa Clara University,Instagram,0,0
University,Santa Clara University,Snapchat,0,0
University,Santa Clara University,Twitter,0,0
University,Santa Clara University,None,2,0.667
University,Appalachian State University,Facebook,5,0.172
University,Appalachian State University,Instagram,9,0.31
University,Appalachian State University,Snapchat,0,0
University,Appalachian State University,Twitter,3,0.103
University,Appalachian State University,None,12,0.414
University,Arbroath Academy,Facebook,0,0
University,Arbroath Academy,Instagram,0,0
University,Arbroath Academy,Snapchat,0,0
University,Arbroath Academy,Twitter,1,1
University,Arbroath Academy,None,0,0
University,Arkansas Tech University ,Facebook,0,0
University,Arkansas Tech University ,Instagram,0,0
University,Arkansas Tech University ,Snapchat,0,0
University,Arkansas Tech University ,Twitter,0,0
University,Arkansas Tech University ,None,1,1
University,University of Rhode Island,Facebook,0,0
University,University of Rhode Island,Instagram,0,0
University,University of Rhode Island,Snapchat,1,0.5
University,University of Rhode Island,Twitter,0,0
University,University of Rhode Island,None,1,0.5
University,Virginia Tech,Facebook,1,0.333
University,Virginia Tech,Instagram,2,0.667
University,Virginia Tech,Snapchat,0,0
University,Virginia Tech,Twitter,0,0
University,Virginia Tech,None,0,0
University,Syracuse University,Facebook,1,0.333
University,Syracuse University,Instagram,0,0
University,Syracuse University,Snapchat,0,0
University,Syracuse University,Twitter,0,0
University,Syracuse University,None,2,0.667
University,Cypress Creek High School,Facebook,0,0
University,Cypress Creek High School,Instagram,1,1
University,Cypress Creek High School,Snapchat,0,0
University,Cypress Creek High School,Twitter,0,0
University,Cypress Creek High School,None,0,0
University,Union High School,Facebook,0,0
University,Union High School,Instagram,0,0
University,Union High School,Snapchat,0,0
University,Union High School,Twitter,0,0
University,Union High School,None,1,1
University,College of William and Mary,Facebook,25,0.287
University,College of William and Mary,Instagram,25,0.287
University,College of William and Mary,Snapchat,5,0.057
University,College of William and Mary,Twitter,2,0.023
University,College of William and Mary,None,30,0.345
University,Ohio State University,Facebook,0,0
University,Ohio State University,Instagram,0,0
University,Ohio State University,Snapchat,0,0
University,Ohio State University,Twitter,0,0
University,Ohio State University,None,4,1
University,Gulf Breeze High School,Facebook,0,0
University,Gulf Breeze High School,Instagram,0,0
University,Gulf Breeze High School,Snapchat,1,1
University,Gulf Breeze High School,Twitter,0,0
University,Gulf Breeze High School,None,0,0
University,Cal Poly San Luis Obispo,Facebook,0,0
University,Cal Poly San Luis Obispo,Instagram,0,0
University,Cal Poly San Luis Obispo,Snapchat,0,0
University,Cal Poly San Luis Obispo,Twitter,0,0
University,Cal Poly San Luis Obispo,None,2,1
University,Oklahoma State University ,Facebook,0,0
University,Oklahoma State University ,Instagram,0,0
University,Oklahoma State University ,Snapchat,0,0
University,Oklahoma State University ,Twitter,1,1
University,Oklahoma State University ,None,0,0
University,University of Texas,Facebook,13,0.342
University,University of Texas,Instagram,11,0.289
University,University of Texas,Snapchat,1,0.026
University,University of Texas,Twitter,0,0
University,University of Texas,None,13,0.342
University,Hampden-Sydney College ,Facebook,0,0
University,Hampden-Sydney College ,Instagram,0,0
University,Hampden-Sydney College ,Snapchat,0,0
University,Hampden-Sydney College ,Twitter,0,0
University,Hampden-Sydney College ,None,2,1
University,University of Arizona,Facebook,8,0.157
University,University of Arizona,Instagram,27,0.529
University,University of Arizona,Snapchat,2,0.039
University,University of Arizona,Twitter,5,0.098
University,University of Arizona,None,9,0.176
University,Coventry University,Facebook,0,0
University,Coventry University,Instagram,2,1
University,Coventry University,Snapchat,0,0
University,Coventry University,Twitter,0,0
University,Coventry University,None,0,0
University,Rochester Institute of Technology,Facebook,0,0
University,Rochester Institute of Technology,Instagram,0,0
University,Rochester Institute of Technology,Snapchat,2,0.667
University,Rochester Institute of Technology,Twitter,0,0
University,Rochester Institute of Technology,None,1,0.333
University,Colgate University,Facebook,0,0
University,Colgate University,Instagram,0,0
University,Colgate University,Snapchat,0,0
University,Colgate University,Twitter,0,0
University,Colgate University,None,2,1
University,Northwestern University,Facebook,30,0.261
University,Northwestern University,Instagram,47,0.409
University,Northwestern University,Snapchat,4,0.035
University,Northwestern University,Twitter,4,0.035
University,Northwestern University,None,30,0.261
University,Saginaw Valley State University,Facebook,0,0
University,Saginaw Valley State University,Instagram,0,0
University,Saginaw Valley State University,Snapchat,0,0
University,Saginaw Valley State University,Twitter,1,1
University,Saginaw Valley State University,None,0,0
University,University of Michigan,Facebook,12,0.231
University,University of Michigan,Instagram,16,0.308
University,University of Michigan,Snapchat,1,0.019
University,University of Michigan,Twitter,2,0.038
University,University of Michigan,None,21,0.404
University,Boise State University,Facebook,0,0
University,Boise State University,Instagram,1,1
University,Boise State University,Snapchat,0,0
University,Boise State University,Twitter,0,0
University,Boise State University,None,0,0
University,Cornell University,Facebook,35,0.287
University,Cornell University,Instagram,44,0.361
University,Cornell University,Snapchat,4,0.033
University,Cornell University,Twitter,1,0.008
University,Cornell University,None,38,0.311
University,University of New Hampshire,Facebook,3,0.429
University,University of New Hampshire,Instagram,2,0.286
University,University of New Hampshire,Snapchat,0,0
University,University of New Hampshire,Twitter,1,0.143
University,University of New Hampshire,None,1,0.143
University,UMass Dartmouth,Facebook,0,0
University,UMass Dartmouth,Instagram,0,0
University,UMass Dartmouth,Snapchat,0,0
University,UMass Dartmouth,Twitter,0,0
University,UMass Dartmouth,None,2,1
University,High Point University,Facebook,0,0
University,High Point University,Instagram,0,0
University,High Point University,Snapchat,0,0
University,High Point University,Twitter,0,0
University,High Point University,None,2,1
University,University of Minnesota,Facebook,0,0
University,University of Minnesota,Instagram,2,0.5
University,University of Minnesota,Snapchat,0,0
University,University of Minnesota,Twitter,0,0
University,University of Minnesota,None,2,0.5
University,Claremont McKenna College,Facebook,14,0.187
University,Claremont McKenna College,Instagram,32,0.427
University,Claremont McKenna College,Snapchat,1,0.013
University,Claremont McKenna College,Twitter,5,0.067
University,Claremont McKenna College,None,23,0.307
University,University of Central Oklahoma,Facebook,0,0
University,University of Central Oklahoma,Instagram,2,1
University,University of Central Oklahoma,Snapchat,0,0
University,University of Central Oklahoma,Twitter,0,0
University,University of Central Oklahoma,None,0,0
University,Illinois State,Facebook,3,0.25
University,Illinois State,Instagram,1,0.083
University,Illinois State,Snapchat,1,0.083
University,Illinois State,Twitter,0,0
University,Illinois State,None,7,0.583
University,University of Guelph,Facebook,0,0
University,University of Guelph,Instagram,1,1
University,University of Guelph,Snapchat,0,0
University,University of Guelph,Twitter,0,0
University,University of Guelph,None,0,0
University,Queens University,Facebook,0,0
University,Queens University,Instagram,1,0.5
University,Queens University,Snapchat,0,0
University,Queens University,Twitter,0,0
University,Queens University,None,1,0.5
University,University of Colorado Boulder,Facebook,1,0.333
University,University of Colorado Boulder,Instagram,0,0
University,University of Colorado Boulder,Snapchat,0,0
University,University of Colorado Boulder,Twitter,0,0
University,University of Colorado Boulder,None,2,0.667
University,University of Virginia,Facebook,64,0.25
University,University of Virginia,Instagram,75,0.293
University,University of Virginia,Snapchat,10,0.039
University,University of Virginia,Twitter,12,0.047
University,University of Virginia,None,95,0.371
University,Villanova University,Facebook,2,1
University,Villanova University,Instagram,0,0
University,Villanova University,Snapchat,0,0
University,Villanova University,Twitter,0,0
University,Villanova University,None,0,0
University,Centre College,Facebook,0,0
University,Centre College,Instagram,0,0
University,Centre College,Snapchat,0,0
University,Centre College,Twitter,0,0
University,Centre College,None,2,1
University,Johns Hopkins University,Facebook,3,0.25
University,Johns Hopkins University,Instagram,1,0.083
University,Johns Hopkins University,Snapchat,0,0
University,Johns Hopkins University,Twitter,1,0.083
University,Johns Hopkins University,None,7,0.583
University,University of Wisconsin-Madison,Facebook,26,0.252
University,University of Wisconsin-Madison,Instagram,35,0.34
University,University of Wisconsin-Madison,Snapchat,1,0.01
University,University of Wisconsin-Madison,Twitter,7,0.068
University,University of Wisconsin-Madison,None,34,0.33
University,Dartmouth College,Facebook,7,0.412
University,Dartmouth College,Instagram,1,0.059
University,Dartmouth College,Snapchat,0,0
University,Dartmouth College,Twitter,1,0.059
University,Dartmouth College,None,8,0.471
University,Purdue University,Facebook,1,0.059
University,Purdue University,Instagram,2,0.118
University,Purdue University,Snapchat,0,0
University,Purdue University,Twitter,1,0.059
University,Purdue University,None,13,0.765
University,San Diego State University,Facebook,24,0.142
University,San Diego State University,Instagram,84,0.497
University,San Diego State University,Snapchat,4,0.024
University,San Diego State University,Twitter,13,0.077
University,San Diego State University,None,44,0.26
University,Michigan State University,Facebook,1,0.5
University,Michigan State University,Instagram,0,0
University,Michigan State University,Snapchat,0,0
University,Michigan State University,Twitter,0,0
University,Michigan State University,None,1,0.5
University,Butler University,Facebook,9,0.273
University,Butler University,Instagram,13,0.394
University,Butler University,Snapchat,0,0
University,Butler University,Twitter,5,0.152
University,Butler University,None,6,0.182
University,Indiana University,Facebook,18,0.225
University,Indiana University,Instagram,24,0.3
University,Indiana University,Snapchat,4,0.05
University,Indiana University,Twitter,10,0.125
University,Indiana University,None,24,0.3
University,"University of California, Berkeley",Facebook,12,0.3
University,"University of California, Berkeley",Instagram,11,0.275
University,"University of California, Berkeley",Snapchat,1,0.025
University,"University of California, Berkeley",Twitter,1,0.025
University,"University of California, Berkeley",None,15,0.375
University,University of Missouri,Facebook,4,0.167
University,University of Missouri,Instagram,3,0.125
University,University of Missouri,Snapchat,0,0
University,University of Missouri,Twitter,4,0.167
University,University of Missouri,None,13,0.542
University,Texas Christian University,Facebook,5,0.217
University,Texas Christian University,Instagram,8,0.348
University,Texas Christian University,Snapchat,1,0.043
University,Texas Christian University,Twitter,3,0.13
University,Texas Christian University,None,6,0.261
University,Truman State University,Facebook,18,0.36
University,Truman State University,Instagram,15,0.3
University,Truman State University,Snapchat,1,0.02
University,Truman State University,Twitter,2,0.04
University,Truman State University,None,14,0.28
University,University of Illinois,Facebook,18,0.209
University,University of Illinois,Instagram,24,0.279
University,University of Illinois,Snapchat,3,0.035
University,University of Illinois,Twitter,7,0.081
University,University of Illinois,None,34,0.395
University,University of Washington,Facebook,12,0.245
University,University of Washington,Instagram,19,0.388
University,University of Washington,Snapchat,1,0.02
University,University of Washington,Twitter,2,0.041
University,University of Washington,None,15,0.306
University,University of North Carolina,Facebook,14,0.241
University,University of North Carolina,Instagram,16,0.276
University,University of North Carolina,Snapchat,2,0.034
University,University of North Carolina,Twitter,5,0.086
University,University of North Carolina,None,21,0.362
University,Miami University (Ohio),Facebook,4,0.222
University,Miami University (Ohio),Instagram,7,0.389
University,Miami University (Ohio),Snapchat,0,0
University,Miami University (Ohio),Twitter,2,0.111
University,Miami University (Ohio),None,5,0.278
University,"University of California, Los Angeles",Facebook,1,1
University,"University of California, Los Angeles",Instagram,0,0
University,"University of California, Los Angeles",Snapchat,0,0
University,"University of California, Los Angeles",Twitter,0,0
University,"University of California, Los Angeles",None,0,0
University,Wilfred Laurier University,Facebook,0,0
University,Wilfred Laurier University,Instagram,1,1
University,Wilfred Laurier University,Snapchat,0,0
University,Wilfred Laurier University,Twitter,0,0
University,Wilfred Laurier University,None,0,0
University,University of California Riverside,Facebook,0,0
University,University of California Riverside,Instagram,0,0
University,University of California Riverside,Snapchat,0,0
University,University of California Riverside,Twitter,0,0
University,University of California Riverside,None,1,1
University,University of Iowa,Facebook,0,0
University,University of Iowa,Instagram,0,0
University,University of Iowa,Snapchat,0,0
University,University of Iowa,Twitter,1,1
University,University of Iowa,None,0,0
University,University of California Irvine,Facebook,0,0
University,University of California Irvine,Instagram,1,0.5
University,University of California Irvine,Snapchat,0,0
University,University of California Irvine,Twitter,0,0
University,University of California Irvine,None,1,0.5
University,"University of California, Davis",Facebook,0,0
University,"University of California, Davis",Instagram,0,0
University,"University of California, Davis",Snapchat,0,0
University,"University of California, Davis",Twitter,0,0
University,"University of California, Davis",None,2,1
University,University of Waterloo,Facebook,0,0
University,University of Waterloo,Instagram,1,0.5
University,University of Waterloo,Snapchat,0,0
University,University of Waterloo,Twitter,0,0
University,University of Waterloo,None,1,0.5
University,Grand Valley State University,Facebook,0,0
University,Grand Valley State University,Instagram,0,0
University,Grand Valley State University,Snapchat,0,0
University,Grand Valley State University,Twitter,0,0
University,Grand Valley State University,None,1,1
University,Baylor University,Facebook,0,0
University,Baylor University,Instagram,0,0
University,Baylor University,Snapchat,0,0
University,Baylor University,Twitter,0,0
University,Baylor University,None,1,1
University,Southern Methodist University,Facebook,3,0.214
University,Southern Methodist University,Instagram,3,0.214
University,Southern Methodist University,Snapchat,1,0.071
University,Southern Methodist University,Twitter,0,0
University,Southern Methodist University,None,7,0.5
University,Blinn College,Facebook,1,1
University,Blinn College,Instagram,0,0
University,Blinn College,Snapchat,0,0
University,Blinn College,Twitter,0,0
University,Blinn College,None,0,0
University,Texas A&M University,Facebook,7,0.2
University,Texas A&M University,Instagram,11,0.314
University,Texas A&M University,Snapchat,4,0.114
University,Texas A&M University,Twitter,3,0.086
University,Texas A&M University,None,10,0.286
University,Wellesley College,Facebook,0,0
University,Wellesley College,Instagram,0,0
University,Wellesley College,Snapchat,0,0
University,Wellesley College,Twitter,0,0
University,Wellesley College,None,1,1
University,Central Washington University,Facebook,0,0
University,Central Washington University,Instagram,1,1
University,Central Washington University,Snapchat,0,0
University,Central Washington University,Twitter,0,0
University,Central Washington University,None,0,0
University,Stellenbosch University,Facebook,1,0.5
University,Stellenbosch University,Instagram,0,0
University,Stellenbosch University,Snapchat,0,0
University,Stellenbosch University,Twitter,0,0
University,Stellenbosch University,None,1,0.5
University,Universidad Nacional de Costa Rica,Facebook,0,0
University,Universidad Nacional de Costa Rica,Instagram,0,0
University,Universidad Nacional de Costa Rica,Snapchat,0,0
University,Universidad Nacional de Costa Rica,Twitter,0,0
University,Universidad Nacional de Costa Rica,None,1,1
University,Kennesaw State University,Facebook,0,0
University,Kennesaw State University,Instagram,1,1
University,Kennesaw State University,Snapchat,0,0
University,Kennesaw State University,Twitter,0,0
University,Kennesaw State University,None,0,0
University,Newcastle University,Facebook,0,0
University,Newcastle University,Instagram,1,1
University,Newcastle University,Snapchat,0,0
University,Newcastle University,Twitter,0,0
University,Newcastle University,None,0,0
University,University of West Georgia ,Facebook,1,1
University,University of West Georgia ,Instagram,0,0
University,University of West Georgia ,Snapchat,0,0
University,University of West Georgia ,Twitter,0,0
University,University of West Georgia ,None,0,0
University,Azusa Pacific University,Facebook,0,0
University,Azusa Pacific University,Instagram,1,1
